patient	GSM71671	GSM71672	GSM71673	GSM71674	GSM71675	GSM71676	GSM71677	GSM71678	GSM71679	GSM71680	GSM71681	GSM71682	GSM71683	GSM71684	GSM71685	GSM71686	GSM71687	GSM71688	GSM71689	GSM71690	GSM71691	GSM71692	GSM71693	GSM71694	GSM71695	GSM71696	GSM71697	GSM71698	GSM71699	GSM71700	GSM71701	GSM71702	GSM71703	GSM71704	GSM71705	GSM71706	GSM71707	GSM71708	GSM71709	GSM71710	GSM71711	GSM71712	GSM71713	GSM71714	GSM71715	GSM71716	GSM71717	GSM71718	GSM71719	GSM71720	GSM71721	GSM71722	GSM71723	GSM71724	GSM71725	GSM71726	GSM71727	GSM71728	GSM71729	GSM71730	GSM71731	GSM71732	GSM71733	GSM71734	GSM71735	GSM71736	GSM71737	GSM71738	GSM71739	GSM71740
200735_x_at	24101.3	32667.4	30798.8	31810.6	21956.3	23160.1	20897.2	23838	27972	16523.6	30949.9	28509.6	35173.8	26515.7	19029.2	24510.1	32930.7	28103.3	40470.9	34116.5	38399.6	46408.2	36627.8	42174.7	33607.2	13064.4	15477.1	18181.7	14397.5	17341.3	19246.7	13723	13434.7	14220.1	11697.5	14868	15524.7	12057.4	12510.2	14858.3	13830.7	16044.2	11136.3	13087.3	14287	13389.9	14104.1	13487.1	11979.7	13160.5	12014.1	13753.1	13288.4	14067.4	31105.8	11762.7	13218.5	11772.3	14820.8	15768.2	13537.1	12473.8	12976.1	14383.4	13371.3	14111	16822.7	14574	14865.2	15830.2
218736_s_at	1714.6	960.2	1130.2	2149.3	1553.3	1553.3	837.1	1842.6	968.2	1291	2180.9	750.4	1037.2	468.1	1220.7	990.1	814.1	822.1	933.1	1448.1	908.5	1177.3	1599.2	826.2	1494.1	83.3	47.9	273	279.9	112.4	164.2	100.8	169.7	25.7	179.1	98.6	34	156.3	545.4	156.4	94.3	182.2	221.9	167.9	196.4	89.8	114.4	93.1	115.8	132.7	129	113.8	84.2	108.9	52.4	145.9	385	133.7	479.1	1020.6	133.6	153.3	128	144.7	168	161	93.4	122.5	298.5	128.9
203407_at	3106.4	4751.5	5633.6	3370.2	3414.9	6814.8	5252.1	5337.7	5061.2	417.4	6968.3	3611.1	5581.4	2377.4	5089	2879.8	1723.9	3654.5	4199.4	5247.2	2400.1	4313.6	4471.9	8592.2	1794.1	203.4	63.7	82.3	31.9	15.8	34	34.3	24.8	67.2	14.8	34	22.5	16.8	648	15.4	61.7	139	60.1	105.1	590.1	50.7	24.4	148.9	72	44.4	16.2	15.2	16.7	76.9	12.3	31.1	1946.6	385	3748.9	2031.3	20.9	82.8	34	22.9	19.8	22.8	12	18.2	2492.2	20.5
60528_at	1691.6	1703.4	2354.8	1806.1	3015.6	2088.3	2440.1	2397.7	2900.1	1180	2799.9	1947.7	3229.4	1751.6	1860.2	2069.8	2204.7	2293.6	1575.1	2581.1	2151.2	1726.5	3085.9	2751.5	2660.1	658	761.6	688.8	639.8	578.8	927.2	772.6	809	923.4	750.8	854.4	823.2	708.5	1317.8	694.8	549.2	869.5	1188.4	600.1	1199.9	728.9	726.8	644	601.5	680.4	651.8	785	758.5	807.3	1204.9	880.2	1412.9	808.5	1925.6	2040.8	672.4	767	591.7	1027	765.2	906.1	731.1	726.5	1245.7	657.7
213050_at	1009	1544.6	1237.9	1302.9	1330.8	1215.3	1280	1271.2	922.7	27.9	1025	554.9	690.3	719.2	877.6	1053.9	978.2	741.4	1211.2	676	1459.8	1867.4	711.7	2170.8	986.8	178.7	36.4	44.1	27.5	32.9	48.6	68.5	67.1	43.1	44.8	34.8	25.2	61.3	101.7	59.9	30.6	40.2	58	38.9	57.7	59.1	57.3	29.5	38.6	37.9	32.9	38.4	17.6	56.2	72.6	42.7	501.9	64.1	654.2	454	45.3	55.3	32	36.5	40.4	44	57.1	19.7	284.1	36.7
209604_s_at	1850.6	9667.7	6898.8	2648.9	9654.4	11090.6	7588.5	5454.5	8862.7	578.6	17439.6	6553.8	9011.4	4167.1	12363.9	4985.2	4900	5119.7	4269.7	10113.5	7850.1	7080.1	8814.5	15537.7	8743.6	365.6	205.5	191.2	270	217.4	138.3	265.3	60.1	186.6	200.7	209.4	164.5	269.4	2517.2	143	110.4	204.4	377.5	175.7	924.8	253	134.1	117.2	188.1	240.6	267.5	50.9	171.8	164.6	214.7	1006.1	945.5	264.5	341.7	3655.6	186.5	209.8	256.1	243.5	182.1	125.6	67.3	90.4	1045.7	287.4
200632_s_at	5442.1	10340.7	9859.1	7013	8306.4	10278.5	16311.9	7768.2	6264	6432.9	7094.7	7550.9	9132.2	9036	8884.5	10281.9	10205.4	4754.9	14459.7	12511	13394.9	10321.1	8223.3	12324.9	9677.3	4109.6	1855	6979.7	7709.4	1362.3	2689.5	1521.1	3340.9	3170	1649.2	2063	2486.6	2030.9	3301.9	1415.5	3093.4	1975.6	3138.4	1430.1	3243.7	2404	2550.2	3719.1	1312.2	5045.3	3892.6	2439.4	1386.5	1816	4943.9	1036.9	4577.2	4481	7534	4165.4	2386.2	2999.7	1778.6	2609.1	1581.5	2467.6	1143.9	3117.9	5843.9	2748.4
203962_s_at	1484.6	946.4	740.1	1689.6	1233.4	1682.3	760.8	1424.1	931.3	111.5	2291.2	850.8	1662.2	492.5	940.3	1208.5	707.8	1689.5	859.4	1348.3	982.7	1086	1754.3	1632.2	778.4	118.7	92.8	82.6	175	96.1	96.7	114.8	140.7	131.5	40.9	116.5	26.9	96.5	217	99.7	91.5	14.9	194.3	115.1	159.4	93.8	89.2	75.8	60.1	49.2	79	78.1	142.3	125	84.8	84.5	322.7	44.6	283.1	643.1	78.9	67.7	74.5	47.5	91.3	147.3	144.4	119.7	487	88.8
213227_at	1285.8	1858.8	1112.1	1685.1	1641.9	1485.6	938.6	1010.8	1105	571	1250.9	1314.3	1202.5	886	834.7	1734.5	1140.9	1109	1798.8	1335.2	1025.4	1882.8	1151.1	2267.2	1160.7	295.3	263.9	379.5	651.2	311.3	579.1	330.4	240	462.5	340.9	365.5	341.3	321.1	380.3	464	367.8	655.2	423.5	488	268.4	268.9	160.7	491.8	520.9	494	300.3	449.8	335.6	289.8	321.5	362.6	520	872.3	295.6	697.7	282.4	368.5	423.6	279.5	435.5	329.1	397.9	380.3	570	486
209351_at	49901.5	103474.7	48124.3	47900.2	59447.2	69766.9	83615.7	44551.3	49891.3	3382.7	59880.3	37658.6	61335.4	43977	54818.2	27333.1	47099	33644.8	59856.4	49360.5	47717.9	99058.3	47795.7	124787	47648.7	22426.6	92.8	119.2	45.2	164.7	105.7	207.2	196.1	25.9	229.9	171.4	13.3	25.3	14704.2	329.2	26.7	363.2	106.1	390.6	32441.3	300.9	197.2	40.1	147.5	212.1	249.6	28.1	210	162.1	49.1	11.6	28409.3	483.8	41208.6	31211.8	366.2	28.1	28.2	17.8	81	162.3	310.7	117.3	38265.1	26
212992_at	3026.6	4542.7	4647.8	2679.8	3488.2	8379.9	6444.5	6000.8	6058.2	539.2	8571.9	3887.8	5402.5	4318.3	7012.2	6037.7	4986.4	3887.8	4784.2	4887.5	8226.4	3768.1	5542.2	7669.7	7661	2138.6	1159.2	1222.9	1496.5	1092.3	1156.2	1181.6	1272.2	1433	1105.9	1045.2	1361.3	1066.4	1799.3	775.1	1939.8	442.4	272.8	1257.8	1279.8	1415.2	1067.5	1762.7	1167.7	1395.3	1337.2	1007.6	1129.3	1660.7	929	299	2039.4	1888.6	3777.8	3755.4	1178.6	1306.9	1342.1	1129.5	1168.7	1117	1051.1	1595.9	2778.8	1377
201829_at	2186.1	1270.2	1026.2	1904.2	2330.5	1343.7	1730.4	917	952.2	808.4	1038.4	1349.2	922.1	768.9	953.1	958.1	1034.9	864.9	1379.7	1123.3	1639.5	1935.6	1179.2	1867	1705.2	283.2	270.9	326.5	265.8	285.5	345.6	201	344.3	269.8	270.2	244.5	271.3	302.5	714.1	210.6	310.1	186.6	340.2	327.2	434.9	263.9	346.3	261.4	264.2	245.8	183.5	254.5	250.7	273.6	200.4	349.6	731.8	281.1	492.1	944.8	247.2	279.3	315.9	336.1	366.3	306.6	326.5	271.7	447.8	246.9
201257_x_at	53019.2	74662.5	67104.8	57279.8	64554.5	42082.9	58317	42499.2	51801.5	44077.3	61246.5	55468.3	65621.4	50027.8	33660.2	35318.7	55900.4	47300.4	75091.9	72865	96245.6	87033.8	63226.5	73618.1	73078.9	29326.8	35574.4	39728.6	26929.7	40816.8	38937.7	32659.8	31652.3	36819.8	30866.9	33052.3	36509.1	28154	31237.4	30955.5	25420.1	43788.3	36035.1	26096.6	24321.9	22886.5	23188.1	25566.6	23953.6	28417.6	23050.6	29145.9	29735.1	27865.6	42525.8	26440	27396.4	32531.6	27370.8	31791.8	25622.6	23331.8	30321	28247.2	28747.1	29259.6	30933.2	33617.8	31880.3	35142.4
200606_at	9452.9	27688.7	14877.9	9097.1	15464	21283	17025.5	10189.7	10997.2	747.7	16494.9	13063.4	14752	8190.3	14485.5	9921.4	8675.9	10324.9	14575	15369.3	12230	20228	16017	35022.2	14162.7	1512.9	125.1	35.7	18	122.8	99.5	18.7	127.2	186.6	149.1	26.2	46.9	122.1	3602.2	175.5	76.7	258.7	262.2	176.5	3603.8	191	170.4	72.3	123.3	202.1	132.5	91.7	169.6	110.2	148.5	81.9	7184.3	280.7	10837.4	9422.7	198.8	76.6	115.9	111.7	123.5	136.1	258.2	71	9838.8	86.8
202136_at	2740.3	2887.8	2748.1	3585.9	3126.1	2899.3	2993.3	2545.5	2811.3	2251.8	2462.6	3061.8	2332	2552	2506.8	2979.3	3124.9	2162.8	4623.1	2421.6	3060.7	3746.5	2041	3871.5	2464.2	1839.3	1490	1336.7	1972.5	1610.3	1488.7	1362.4	1313.6	1352	1372.6	1232	1570.9	1886.4	2395.7	1686.9	1110.7	1087	1707.3	1605.3	1775.5	1515.4	1599.4	1594.4	1556.7	1440.6	1314	1452.1	1824.8	1336.8	1914.8	1728.5	1482.1	1047	1520.6	2244.5	1027.1	1409.1	1102.6	1409	1612.9	1603	1553.7	1411	1499	1505.2
206539_s_at	961.5	1190.1	722.2	992.4	1247.2	694	890.1	667.2	838.1	37.4	946.2	669	1455	498.5	1180.1	760.3	800.8	502	848.3	408.9	1254.6	1000	1298.9	1601.8	1337.5	46.2	45.8	166.4	210	45.4	107.3	220.5	65.2	44.1	47.1	111.8	31.3	236.8	127.4	86.9	52	31.4	52.9	169.9	341.8	71.1	78.3	46.8	43	35.3	123.6	56.8	137.8	85.1	63.7	100.7	221.6	36.2	36.2	626.1	57.5	83.7	53.6	244.3	104.9	78.1	35.7	97.3	207.6	55.3
217906_at	3335.8	3657.6	3769.3	2954.9	2148.3	2053.1	1950.2	2026.1	1991.6	1930.6	2670.5	2312.9	1870.8	1616.3	1848.7	2307.6	1783.8	1892.5	3093.1	1768.8	1809	2532.5	1896.4	2552.4	1647.3	704.6	1020.8	1021.3	660.1	895.5	1023.6	711.1	662.6	586.3	655.2	632.7	684	567.7	1500.3	785.8	839.6	1486.6	1011.5	807.5	519.1	639.2	549.5	1027.6	1135.2	984.4	1055.2	1032	879.3	1411.6	1010.6	1241.8	1402.1	1383.1	1271.7	1496.6	886	919.1	805	763.8	798.7	539.8	537.2	574.8	948.5	890.6
218180_s_at	840.5	1515.5	857.3	794.9	922.2	1119.4	1120.8	706.6	724.1	229.6	900.6	745.1	1415	609.6	941.9	794.4	744.4	743.5	758.4	835.7	816.6	1477.8	1191.2	1397.3	716.1	49.8	19.8	51.8	67.9	52.1	170	30	57.1	79	82.4	224.9	53.6	31.2	215.4	171.6	17.6	40.4	150.7	41.6	316.8	111.4	137.2	127.8	63.7	148.2	38.1	59.3	101.3	97.3	777.2	375.1	423.3	55	520.7	499.3	134.9	84.3	39.6	245.5	115	94.1	33	65.9	390.5	35.9
